Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
60.329404999999795,1213,,,,-0.005859375,-0.04296875,-0.98046875,0.008958240965300988,0.6622530974299373,15.385540008544922,0.3249246748210862,0,2523,4.9991415842232705,0,0,0,0,0.3125,,
60.35489500000002,1213,,,,-0.080078125,0.03125,-1.015625,0.0075699799766693445,0.6312943646018654,15.383637428283691,0.3356463881256059,0,2512,5.163462339037305,0,0,0,0,0.318359375,,
60.38012499999954,1213,,,,-0.037109375,-0.044921875,-0.953125,0.00802260583749334,0.6370786466922981,15.384000778198242,0.3429952533962205,0,2502,5.276639245165759,0,0,0,0,0.322265625,,
60.419395000000016,1213,,,,-0.07421875,0.12109375,-1.05859375,0.008162556065042258,0.6521505213468028,15.385501861572266,0.3501838417770341,0,2496,5.387754149553086,0,0,0,0,0.32421875,,
60.45166999999993,1213,,,,-0.0078125,-0.0234375,-1.013671875,0.008236603432410306,0.6165316216270049,15.38461685180664,0.3249246748210862,0,2491,4.998841627820276,0,0,0,0,0.33203125,,
60.47909499999974,1213,,,,-0.05078125,0.00390625,-1.009765625,0.008561064071378506,0.6281402938016106,15.384800910949707,0.3514045449020341,0,2487,5.406288962520682,0,0,0,0,0.333984375,,
60.505024999999904,1213,,,,0,-0.095703125,-0.9375,0.008343771372995702,0.6265905427509664,15.385334014892578,0.3522183569194749,0,2483,5.418997067382771,0,0,0,0,0.33984375,,
60.54594499999983,1213,,,,-0.0859375,-0.001953125,-0.986328125,0.008806423979609563,0.6791257391503316,15.384445190429688,0.3391975136520341,0,2483,5.2183655575097445,0,0,0,0,0.33984375,,
60.57570499999961,1213,,,,-0.0234375,0.056640625,-1.048828125,0.008201967226009466,0.5812876088691057,15.384923934936523,0.33018308599013835,0,2482,5.0798416625608835,0,0,0,0,0.345703125,,
60.601404999999794,1213,,,,-0.041015625,-0.0234375,-0.916015625,0.00852485027225481,0.6352560521468221,15.385202407836914,0.3479865761520341,0,2479,5.353843909309199,0,0,0,0,0.349609375,,
60.641629999999886,1213,,,,-0.099609375,-0.09375,-0.982421875,0.008579186286048495,0.6269179549447644,15.383502006530762,0.3330939980270341,0,2478,5.124152187012233,0,0,0,0,0.349609375,,
60.6727799999998,1212,,,,-0.0078125,0.078125,-1.06640625,0.008559453466260854,0.6363365123863557,15.385429382324219,0.3486143620731309,0,2477,5.363581649340162,0,0,0,0,0.35546875,,
60.70118999999995,1211,,,,-0.01953125,-0.0703125,-0.916015625,0.00898292806827558,0.6403855098496586,15.38599967956543,0.3450568886520341,0,2477,5.309045178232041,0,0,0,0,0.359375,,
60.72944999999972,1210,,,,-0.009765625,-0.126953125,-1.01953125,0.009183036664633751,0.626819731286625,15.384000778198242,0.3961636694194749,0,2478,6.094582198643073,0,0,0,0,0.36328125,,
60.75960499999952,1210,,,,-0.05078125,0.173828125,-1.078125,0.009882145213415473,0.6340555407695625,15.38577938079834,0.3240065546752885,0,2481,4.985093368166564,0,0,0,0,0.3671875,,
60.78650999999978,1209,,,,0.01171875,-0.0234375,-0.994140625,0.008814122577912979,0.6108201887496923,15.386001586914062,0.2991584511520341,0,2487,4.60285240416395,0,0,0,0,0.3671875,,
60.82235999999987,1208,,,,-0.099609375,-0.0234375,-1.005859375,0.007321788277170321,0.6178377234367644,15.385777473449707,0.3001350136520341,0,2482,4.617810532040987,0,0,0,0,0.369140625,,
60.848764999999666,1208,,,,-0.03515625,-0.046875,-0.923828125,0.007246701254893603,0.6646830415949088,15.387001037597656,0.2960660131694749,0,2470,4.5555680518361115,0,0,0,0,0.369140625,,
60.87599499999965,1208,,,,-0.0234375,0.015625,-1.005859375,0.007273743869694904,0.6203042286300433,15.38800048828125,0.3184455605270341,0,2461,4.900240440880997,0,0,0,0,0.373046875,,
60.906904999999796,1208,,,,-0.009765625,0.13671875,-1.052734375,0.007651839353426124,0.6151747709272067,15.38577938079834,0.3120707841636613,0,2454,4.801452236334829,0,0,0,0,0.375,,
60.94841500000004,1208,,,,-0.072265625,-0.03515625,-1.00390625,0.00733224728195111,0.5447121198564278,15.384366035461426,0.3099006386520341,0,2449,4.7676248596461575,0,0,0,0,0.37890625,,
60.976029999999795,1208,,,,-0.0234375,-0.02734375,-0.978515625,0.00647919186804061,0.6554865787581104,15.385232925415039,0.31891506631392985,0,2436,4.906582578663994,0,0,0,0,0.384765625,,
61.018430000000166,1208,,,,-0.03125,0.10546875,-1.087890625,0.007255435537692262,0.5964686209215433,15.386223793029785,0.2990499408962205,0,2430,4.601249315921579,0,0,0,0,0.388671875,,
61.04998999999976,1207,,,,-0.0546875,-0.13671875,-0.921875,0.008649958322860227,0.5889927091631538,15.387467384338379,0.3229214819194749,0,2423,4.968943770738136,0,0,0,0,0.396484375,,
61.078805000000166,1207,,,,0.01953125,0.001953125,-0.966796875,0.0066230654358314075,0.5888071755866683,15.386401176452637,0.3391975136520341,0,2418,5.219029023105467,0,0,0,0,0.396484375,,
